network,type,router,software,chassis,clli_code
AS3356,EAR,EAR3.NYC6,23.10.R8,7750-SR-7s,NYCPNYYK
AS3549,VAR,VAR1.SEA5,21.4R3-S8.4,MX960,STTNWAHO
AS3549,SCR,SCR1.ALB1,21.4R3-S8.4,MX10003,ALBYNYVP
AS3549,VAR,VAR1.SMF2,21.4R3-S8.4,MX960,WSCRCAHW
AS3356,EDGE,EDGE1.DEN1,11.4R8.4,M120,DNVTCO56
AS209,EDGE,DVN-EDGE-07,21.2R3-S3.5,MX480,BTNDIAUT
AS3356,EAR,EAR1.DAL5,23.10.R8,7750-SR-7s,DLLSTX37
AS3356,EAR,EAR5.NWR1,23.10.R6,7750-SR-7s,NWRKNJMD
AS3356,EDGE,EDGE1.DET1,11.4R8.4,M120,SFLDMIDN
AS3549,SCR,SCR2.CLB2,21.4R3-S8.4,MX10003,CLMDOH44
AS209,DSL-GW,TCSO-DSL-GW26.TCSO.QWEST.NET,19.4R3-S3.3,MX480,TCSNAZ64
AS3356,BAR,BAR2.TUS1,21.2R3-S9.20,MX960,TUSTCAFT
AS3356,EDGE,EDGE1.LAX4,15.1F5-S7.1,MX104,ANHNCA03
AS3356,EAR,EAR1.MCA1,23.10.R8,7750-SR-2s,MCAMTXKN
AS3356,BEAR,BEAR2.STM1,16.0.R14,7750-SR-12,SMFRCTPU
AS3356,EDGE,EDGE1.TMP1,17.3R3-S12.3,MX104,TAMRFLWS
AS3356,EDGE,EDGE1.SAC1,15.1F5-S7.1,MX104,WSCRCAHW
AS3356,EDGE,EDGE2.CHI10,22.4R3-S6.5,PTX10008,BRVWILCU
AS209,AGW,CHEY-AGW1,21.2R3-S9.20,MX960,CHYNWYMA
AS209,PCOR,ATL-PCOR-20,16.0.R20,7950-XRS-20,ATLNGAMA
AS3549,VAR,VAR2.DEN5,21.4R3-S8.4,MX960,DNVTCO56
AS3356,EAR,EAR2.TUL2,23.10.R8,7750-SR-2s,TULUOKBR
AS3356,EDGE,EDGE1.CHI11,11.4R8.4,M120,SHNDILCI
AS3549,VAR,VAR4.PDX4,22.4R3-S6.5,MX10004,PTLGORIA
AS3356,EAR,EAR1.CLE1,23.10.R8,7750-SR-2s,CLEVOH97
AS3356,EAR,EAR1.OMA4,23.10.R8,7750-SR-2s,OMALNEUN
AS3549,PR,PR7.DAL1,14.1R4.10,MX80,DLLSTX37
AS3356,BAR,BAR1.PIT3,22.4R3-S6.5,PTX10008,PITDPANG
AS3356,EAR,EAR1.NOR1,23.10.R6,7750-SR-2s,MTRELANJ
AS3356,EAR,EAR1.STL1,23.10.R8,7750-SR-2s,STLSMOPL
AS3549,ES,CHI7-ES31,23.4R2-S3.10-EVO,ACX7100-32C,CHCGILWU
AS209,DSL-GW,STPL-DSL-GW12.STPL.QWEST.NET,19.4R3-S3.3,MX480,STPLMNMK
AS3356,BAR,BAR2.PHI1,21.2R3-S9.20,MX960,PHLAPAFG
AS3356,EAR,EAR2.BOS1,23.10.R6,7750-SR-7s,CMBRMAOR
AS3356,EAR,EAR3.KAC2,23.10.R6,7750-SR-7s,KSCBMOVS
AS209,DSL-GW,PTLD-DSL-GW52.PTLD.QWEST.NET,19.4R3-S3.3,MX480,PTLDOR61
AS3549,SCR,SCR1.MIA1,15.1F5-S8,T640,MIATFLAD
AS3356,EAR,EAR1.CED1,23.10.R8,7750-SR-2s,CDRRIADT
AS3549,VAR,VAR32.WDC26,22.4R3-S6.5,MX304,ASBNVACZ
AS3549,VAR,VAR1.ORL4,21.4R3-S8.4,MX10003,ORLFFLEJ
AS3549,ES,DAL5-ES4,20.2X4.1,ACX5448,DLLATX37
AS209,DSL-GW,SLCY-DSL-GW16.SLCY.QWEST.NET,19.4R3-S3.3,MX480,SLKDUTUY
AS3549,ES,SEA5-ES3,20.2X4.1,ACX5448,STTNWAHO
AS3356,EAR,EAR1.FRS1,23.10.R8,7750-SR-2s,FRSMCA15
AS3356,EAR,EAR1.PIT1,23.10.R8,7750-SR-2s,PITEPADT
AS209,EDGE,CER-EDGE-18,21.2R3-S9.20,MX960,CHCGILDT
AS3549,AR,OAK3-AR2,21.2R3-S9.20,MX960,EMVLCA04
AS209,EDGE,IPL-EDGE-03,21.2R3-S3.5,MX480,IPLXINIF
AS3549,SDR,SDR2.NYC6,16.0.R20,7750-SR-12e,NYCPNYYK
AS3549,ER,GSO1-ER1,15.1F5-S7.1,MX480,GNBPNCDN
AS209,PCOR,FTW-PCOR-20,16.0.R20,7950-XRS-20,FTWQTXFH
AS3549,AR,ELP1-AR3,19.1R2-S3,MX960,ELPSTX98
AS3549,SDR,SDR1.WDC111,21.4R3-S8.4,MX10008,ASBNVAMG
AS3356,EAR,EAR2.DAL1,16.0.R14,7750-SR-12,DLLATX37
AS3356,EDGE,EDGE1.ATL4,21.2R3-S9.20,MX960,ATLNGAMQ
AS3356,EDGE,EDGE6.MIA1,22.4R3-S6.5,PTX10008,MIATFLAD
AS3549,AR,LOU1-AR2,14.1R8.6,M120,LSVLKY18
AS3356,BAR,BAR3.PHI1,22.4R3-S6.5,PTX10008,PHLAPAFG
AS3549,AR,CNC1-AR2,19.1R2-S3,MX960,CNCNOHRN
AS209,PRIV,BST-PRIV-12,6.7.3[Default],ASR9K,BSTPMALL
AS3356,EAR,EAR1.ATL1,23.10.R6,7950-XRS-20,ATLNGAHP
AS3549,SDR,SDR1.SLC1,21.4R3-S8.4,MX10008,SLKDUTYI
AS3356,EAR,EAR2.BIR1,23.10.R6,7750-SR-2s,BRHOALOH
AS209,EDGE,CHC-EDGE-03,21.2R3-S9.20,MX960,CHCGILMQ
AS209,PCOR,HLR-PCOR-20,16.0.R20,7950-XRS-40,HLRNCOFP
AS3549,VAR,VAR1.SDG3,21.4R3-S8.4,MX10003,SNDACAGL
AS3356,EBR,EBR1.CHI10,22.4R3-S6.5,PTX10008,BRVWILCU
AS3549,SCR,SCR1.MIN25,21.4R3-S8.4,MX10003,MNNTMNIC
AS3356,BAR,BAR3.SLC1,22.4R3-S6.5,PTX10008,SLKDUTYI
CTL,CR,CRFLWNPK02,12.1(22)E2,7609,null
AS3356,EAR,EAR1.SDG1,23.10.R8,7750-SR-2s,SNDACAGL
AS3549,AR,CHI1-AR3,15.1F5-S7.1,MX480,CHCGILCP
AS3549,SDR,SDR2.SLC1,21.4R3-S8.4,MX10008,SLKDUTYI
AS3549,SCR,SCR1.SAT1,21.4R3-S8.4,MX10003,SNAQTXKY
AS3356,EBR,EBR1.WDC1,21.2R3-S3.5,PTX10008,MCLNVA23
AS209,EDGE,BIS-EDGE-06,21.2R3-S3.5,MX480,BSMRNDCP
AS3356,EDGE,EDGE1.LAX9,21.2R3-S9.20,MX960,LSANCAJW
AS3549,ER,FTW1-ER1,15.1F5-S7.1,MX480,FTWOTXFO
AS3549,VAR,VAR1.FRS3,21.4R3-S8.4,MX10003,FRSMCA15
AS3549,SCR,SCR2.MON1,21.4R3-S8.4,MX10003,LCHNPQEQ
AS3356,EAR,EAR6.CHI2,23.10.R6,7950-XRS-20,CHCTILWC
AS3356,EAR,EAR2.MIA1,23.10.R6,7950-XRS-20,MIATFLAD
AS3549,AR,SBA1-AR3,15.1F5-S7.1,MX480,GOLTCAGR
AS3356,EAR,EAR2.KAC2,23.10.R8,7750-SR-2s,KSCBMOVS
AS3356,EAR,EAR1.WDC111,16.0.R14,7750-SR-12,ASBNVAMG
AS3356,EAR,EAR1.MON1,23.10.R8,7750-SR-2s,LCHNPQEQ
AS3356,EDGE,EDGE6.DAAS3356,21.2R3-S9.20,MX960,DLLSTX97
AS3356,EAR,EAR3.TUS1,23.10.R6,7950-XRS-20,TUSTCAFT
AS3356,EAR,EAR2.VCR1,23.10.R8,7750-SR-2s,VANCBCHC
AS209,PRIV,HGK2-PRIV-20,16.0.R15,7750-SR-7,CHWAHKAJ
AS3549,VAR,VAR4.DEN5,22.4R3-S6.5,MX10004,DNVTCO56
AS209,PCOR,BUR-PCOR-03,21.2R3-S9.20,MX960,BRBNCACG
AS3549,SDR,SDR1.LAX9,21.4R3-S8.4,MX10008,LSANCAJW
AS3356,EAR,EAR2.MIA42,23.10.R6,7750-SR-7s,MIBBFLLO
AS3356,EBR,EBR1.SJO1,22.4R3-S6.5,PTX10008,SNVACAID
AS3549,CR,HOU1-CR2,21.2R3-S9.20,MX960,HSTOTX42
AS3549,VAR,VAR3.SAT5,22.4R3-S6.5,MX10004,SNAQTXKY
AS3549,ESP,ESP1.DEN1,16.0.R15,7750-SR-12,DNVTCO56
AS3356,EAR,EAR3.MIA2,23.10.R6,7950-XRS-20,MIAUFLWS
AS3356,EDGE,EDGE2.SJO3,21.2R3-S9.20,MX960,SNJUCACL
CTL,CR,CRFLWNPK01,12.1(22)E2,7609,null
AS3549,VAR,VAR1.MSP1,21.4R3-S8.4,MX10003,MNNTMNIC
AS3356,BAR,BAR1.TUL2,21.2R3-S9.20,MX960,TULUOKBR
AS3356,EAR,EAR2.CLE1,23.10.R6,7750-SR-2s,CLEVOH97
AS209,EDGE,DCX2-EDGE-03,21.2R3-S9.20,MX960,ASBNVACZ
AS3549,ESP,ESP2.NWR1,16.0.R15,7750-SR-12,NWRKNJMD
AS3356,EAR,EAR2.WDC111,23.10.R6,7750-SR-7s,ASBNVAMG
AS3356,EAR,EAR2.ALB1,23.10.R6,7750-SR-2s,ALBYNYVP
AS3356,EAR,EAR1.SJO3,16.0.R14,7750-SR-12,SNJUCACL
AS3356,EDGE,EDGE1.SJO1,22.4R3-S6.5,PTX10008,SNVACAID
AS3356,EAR,EAR6.LAX1,23.10.R8,7750-SR-7s,LSANCA54
AS209,EDGE,SEA-EDGE-14,21.2R3-S3.5,MX960,STTLWAWB
AS209,AGW,ALBQ-AGW2,21.2R3-S9.20,MX960,ALBQNMPC
AS3356,EAR,EAR6.DAL1,23.10.R8,7750-SR-7s,DLLATX37
AS3356,EAR,EAR2.NVL1,23.10.R8,7750-SR-2s,NSVMTN17
AS3356,EAR,EAR1.NYC1,16.0.R14,7750-SR-12,NYCMNY83
AS3356,BAR,BAR4.DET1,22.4R3-S6.5,PTX10008,SFLDMIDN
AS3356,EAR,EAR2.STL1,23.10.R8,7750-SR-2s,STLSMOPL
AS3356,EAR,EAR1.BIL4,23.10.R8,7750-SR-2s,BLNGMTMA
AS3356,EAR,EAR8.CHI2,23.10.R6,7750-SR-7s,CHCTILWC
AS3356,BAR,BAR1.KAC1,21.2R3-S9.20,MX960,KSCYMO11
AS3356,EAR,EAR2.IND1,23.10.R6,7750-SR-2s,IPLWINRO
AS3356,BAR,BAR4.TOR1,22.4R3-S6.5,PTX10008,TORVONRF
AS3356,EAR,EAR1.JAX5,23.10.R8,7750-SR-2s,JCVLFLAI
AS3356,EDGE,EDGE1.MIA42,22.4R3-S6.5,PTX10008,MIBBFLLO
AS3356,EAR,EAR1.DEN1,16.0.R14,7750-SR-12,DNVTCO56
AS3356,BEAR,BEAR1.NVL1,16.0.R14,7750-SR-12,NSVMTN17
AS3549,SCR,SCR1.SEA1,18.2R3-S8.5,MX960,STTLWAWB
AS3356,BAR,BAR1.CLE1,21.2R3-S9.20,MX960,CLEVOH97
AS3356,BAR,BAR3.ORL1,22.4R3-S6.5,PTX10008,ORLFFLEJ
AS3356,BAR,BAR1.LVG1,21.2R3-S9.20,MX960,NLVGNVBV
AS3549,VAR,VAR2.PDX4,21.4R3-S8.4,MX10003,PTLGORIA
AS3356,EAR,EAR5.CHI2,23.10.R6,7950-XRS-20,CHCTILWC
AS3356,BAR,BAR2.TOR1,21.2R3-S9.20,MX960,TORVONRF
AS3356,EAR,EAR1.SEA3,16.0.R14,7750-SR-12,STTLWAWB
AS3356,EAR,EAR1.DAAS3356,16.0.R14,7750-SR-12,DLLSTX97
AS3356,EAR,EAR2.SDG1,23.10.R6,7750-SR-2s,SNDACAGL
AS3356,BAR,BAR2.PIT3,22.4R3-S6.5,PTX10008,PITDPANG
AS3356,EAR,EAR2.MDS2,23.10.R6,7750-SR-2s,MDSNWIUQ
AS209,EDGE,JCV-EDGE-02,21.2R3-S3.5,MX480,JCVLFLJB
AS209,PRIV,TPA-PRIV-13,6.7.3[Default],ASR9K,TAMRFLIY
AS209,EDGE,DVR-EDGE-15,21.2R3-S3.5,MX960,DNVRCO26
AS3549,ESP,ESP3.DEN1,16.0.R15,7750-SR-12,DNVTCO56
AS3356,EAR,EAR1.MIA42,23.10.R6,7750-SR-7s,MIBBFLLO
AS3549,SDR,SDR3.DAL1,21.4R3-S8.4,MX10008,DLLATX37
AS3356,BEAR,BEAR2.MON2,16.0.R14,7750-SR-12,MTRLPQGZ
AS3549,VAR,VAR1.HSV1,21.2R3-S9.21,MX104,HNVIALDY
AS3549,AR,CHO1-AR1,21.2R3-S9.20,MX960,CHVLVACF
AS209,EDGE,ORL-EDGE-03,21.2R3-S3.5,MX960,ORLFFL43
AS3356,EAR,EAR1.AUS1,23.10.R8,7750-SR-2s,AUSTTXUH
AS3356,EAR,EAR1.WDC12,23.10.R6,7950-XRS-20,HRNDVAHY
AS3356,EAR,EAR2.CLT1,23.10.R6,7750-SR-2s,CHRLNCRL
AS3356,EAR,EAR3.NWR1,23.10.R6,7950-XRS-20,NWRKNJMD
AS3356,EAR,EAR4.NWR1,23.10.R6,7950-XRS-20,NWRKNJMD
AS3356,EDGE,EDGE7.LAX1,22.4R3-S6.5,PTX10008,LSANCA54
AS3356,EAR,EAR1.MIN25,23.10.R8,7750-SR-2s,MNNTMNIC
AS3356,BAR,BAR1.MIN2,21.2R3-S9.20,MX960,MPLSMNCD
AS209,EDGE,DES-EDGE-07,21.2R3-S3.5,MX480,DESMIADT
AS209,EDGE,CLS2-EDGE-05,21.2R3-S3.5,MX960,CLSPCOMA
AS3356,BAR,BAR1.DET1,21.2R3-S9.20,MX960,SFLDMIDN
AS209,DSL-GW,ALBQ-DSL-GW42.ALBQ.QWEST.NET,12.2(33)SB13,C10008,ALBQNMPC
AS3549,AR,ONT1-AR3,21.2R3-S9.20,MX480,ONTRCAFX
AS209,PRIV,TPA-PRIV-14,6.7.3[Default],ASR9K,TAMRFLIY
AS3356,EAR,EAR1.WDC1,16.0.R14,7750-SR-12,MCLNVA23
AS209,PRIV,GUA-PRIV-20,16.0.R15,7750-SR-7,PITIGU02
AS3549,ES,SFO2-ES2,12.3R12-S14,EX4550_Virtual,SNFCCASY
AS3549,VAR,VAR1.AUS6,21.4R3-S8.4,MX10003,AUSTTXUH
AS3549,ES,DAAS33566-ES1,12.3R3.4,EX4550_Virtual,DLLSTXJF
AS3549,ES,GRR1-ES1,12.3R3.4,EX4550_Virtual,DTTNMIAK
AS3549,ES,JAX2-ES2,12.3R3.4,EX4550_Virtual,JCVLFLAK
AS3549,ES,KSC5-ES1,12.3R3.4,EX4550_Virtual,KSCYMO03
AS3549,ES,NYC2-ES3,12.3R3.4,EX4550_Virtual,NYCMNY83
AS3549,ES,RDU4-ES1,12.3R3.4,EX4550_Virtual,null
AS3549,ES,IND4-ES1,11.4R5.5,EX4500-40F,IPLEINXZ
AS209,DSL-GW,STPL-DSL-GW26.STPL.QWEST.NET,16.0.R15,7750-SR-12,STPLMNMK
AS3549,ES,ROC2-ES1,12.3R3.4,EX4550_Virtual,ROCHNYEH
AS3549,ES,DAL8-ES1,11.4R5.5,EX4500-40F,DLLSTX37
AS3549,ES,MSP5-ES1,11.4R5.5,EX4500-40F,CHSKMNCU
AS3549,ER,OAK3-ER1,19.1R2-S3,MX960,EMVLCA04
AS3549,ES,SFO5-ES1,12.3R3.4,EX4550_Virtual,SNTDCABK
AS3549,ES,SEA9-ES1,12.3R3.4,EX4550_Virtual,TKWLWANK
AS3549,ES,DAL2-ES3,12.3R3.4,EX4550_Virtual,DLLSTX97
AS3549,ES,IND7-ES1,12.3R3.4,EX4550_Virtual,GNWDINRA
AS209,PRIV,HLR-PRIV-25,16.0.R15,7750-SR-12,HLRNCOFP
AS209,PRIV,EUG2-PRIV-21,16.0.R15,7750-SR-12,EUGNOR53
AS209,PRIV,ROC2-PRIV-20,16.0.R15,7750-SR-12,ROCHMNRO
AS3549,ES,LAS2-ES1,11.4R5.5,EX4500-40F,LSVMNVVT
AS209,PRIV,MIN6-PRIV-20,16.0.R15,7750-SR-12,SHKPMNID
AS209,EDGE,HNL-EDGE-05,21.2R3-S3.5,MX480,HNLLHIEL
AS3549,VAR,VAR1.ATL12,21.4R3-S8.4,MX960,ATLDGAUY
AS3549,ES,MIA2-ES2,12.3R3.4,EX4550_Virtual,MIAUFLWS
AS209,DSL-GW,STPL-DSL-GW06.STPL.QWEST.NET,12.2(33)SB13,C10008,STPLMNMK
AS3549,ES,LAX1-ES3,12.3R3.4,EX4550_Virtual,LSANCARC
AS3356,EBR,EBR2.WDC12,22.4R3-S6.5,PTX10008,HRNDVAHY
AS3549,ES,SLC2-ES1,12.3R3.4,EX4550_Virtual,SLKDUTYI
AS209,PRIV,DVR-PRIV-21,16.0.R15,7750-SR-12,DNVRCO26
AS209,PRIV,CDR3-PRIV-20,16.0.R15,7750-SR-12,MARNIACO
AS3549,ES,WDC3-ES1,12.3R3.4,EX4550_Virtual,ASBNVACY
AS209,DSL-GW,PTLD-DSL-GW59.PTLD.QWEST.NET,21.2R3-S9.20,MX480,PTLDOR61
AS209,PRIV,FTM-PRIV-21,16.0.R15,7750-SR-12,FTMYFLXA
AS3549,ES,RDU7-ES1,12.3R3.4,EX4550_Virtual,RLGHNCHS
AS209,PRIV,PHN2-PRIV-20,16.0.R15,7750-SR-12,PHNHAZVA
AS3549,ES,HOU7-ES1,12.3R3.4,EX4550_Virtual,HSTSTXJV
AS3549,ES,CHI4-ES1,11.4R5.5,EX4500-40F,EGVGILDZ
AS209,PRIV,NSV-PRIV-20,16.0.R15,7750-SR-12,NSVMTNSY
AS3549,ES,PHL2-ES1,12.3R3.4,EX4550_Virtual,PHLJPAOS
AS3356,EBR,EBR3.CHI2,16.0.R14,7950-XRS-40,CHCTILWC
AS3549,ES,SEA8-ES1,11.4R5.5,EX4500-40F,TKWLWANA
AS3549,ES,NYC4-ES2,12.3R3.4,EX4550_Virtual,NYCMNYAA
AS3549,ES,NYC3-ES3,12.3R12-S14,EX4550_Virtual,CHCGILDT
AS3549,ES,CMH3-ES1,11.4R5.5,EX4500-40F,CLMBOHIA
AS209,PRIV,SXF-PRIV-21,16.0.R15,7750-SR-12,SXFLSDNW
AS3549,ES,CHI3-ES1,11.4R5.5,EX4500-40F,EGVGILBP
AS209,PRIV,RCM-PRIV-22,16.0.R15,7750-SR-12e,RCMTNCXA
AS209,PRIV,ATAS3356-PRIV-20,16.0.R15,7750-SR-12,LTSPGA02
AS3549,ES,PHX5-ES1,12.3R3.4,EX4550_Virtual,CHNFAZFI
AS209,PRIV,MIN5-PRIV-21,16.0.R15,7750-SR-12,STPLMNMK
AS209,PRIV,KCM-PRIV-22,16.0.R15,7750-SR-12,KSCAMO96
AS209,EDGE,DCA-EDGE-25,21.2R3-S3.5,MX960,WASIDCRG
AS3549,AR,WDC111-AR1,14.1R8.6,M120,ASBNVAMG
AS3549,ES,CLT6-ES1,12.3R3.4,EX4550_Virtual,CHRMNCYW
AS209,PRIV,DLT-PRIV-21,16.0.R15,7750-SR-12,DLTHMNAT
AS209,DSL-GW,STPL-DSL-GW01.STPL.QWEST.NET,12.2(33)SB13,C10008,STPLMNMK
AS3549,ES,BOS2-ES2,12.3R3.4,EX4550_Virtual,BSTPMALL
AS209,PRIV,TUL-PRIV-20,16.0.R15,7750-SR-12,TULUOKSH
AS3549,ES,EWR9-ES1,12.3R3.4,EX4550_Virtual,null
AS209,PRIV,CER-PRIV-27,16.0.R15,7750-SR-12,CHCGILDT
AS3356,EBR,EBR5.DAL1,16.0.R14,7950-XRS-40,DLLATX37
AS209,PRIV,SPK2-PRIV-20,16.0.R15,7750-SR-12,SPKNWA01
AS3549,ES,ATL8-ES2,12.3R3.4,EX4550_Virtual,SUWNGAEQ
AS3549,AR,TUL2-AR3,19.1R2-S3,MX960,TULUOKBR
AS209,DSL-GW,SLCY-DSL-GW09.SLCY.QWEST.NET,12.2(33)SB13,C10008,SLKDUTUY
AS3356,EBR,EBR1.MIA1,23.10.R8,7750-SR-7s,MIATFLAD
AS3549,ES,KSC2-ES1,11.4R5.5,EX4500-40F,KSCYMOAV
AS3549,ES,CNC6-ES1,12.3R3.4,EX4550_Virtual,CNCNOHBV
AS3549,ES,DAL4-ES1,11.4R5.5,EX4500-40F,CRTNTXWI
AS209,EDGE,HNL-EDGE-04,21.2R3-S3.5,MX480,HNLLHIEL
AS3549,ES,NGU1-ES1,12.3R3.4,EX4550_Virtual,NRFLVABN
AS209,PRIV,ANC-PRIV-21,16.0.R15,7750-SR-7,ANCRAKXE
AS209,PRIV,TPA-PRIV-21,16.0.R15,7750-SR-12,TAMRFLIY
AS3549,SCR,SCR2.AQQ5,16.0.R20,7750-SR-12,ALBQNMPC
AS209,DSL-GW,LSV2-DSL-GW04.LSV2.QWEST.NET,16.0.R15,7750-SR-12,LSVGNVXB
AS3549,ES,SLC3-ES1,12.3R3.4,EX4550_Virtual,WJRDUTFR
AS209,PRIV,SVL-PRIV-20,16.0.R15,7750-SR-12,SNVACAHZ
AS209,PRIV,IPL-PRIV-21,16.0.R15,7750-SR-12,IPLXINIF
AS209,PRIV,BIS-PRIV-20,16.0.R15,7750-SR-12,BSMRNDCP
AS3549,CR,ROC1-CR1,15.1F5-S8,MX480,GATSNYAO
AS3356,EDGE,EDGE5.WDC12,22.4R3-S6.5,PTX10008,HRNDVAHY
AS209,EDGE,DAX-EDGE-03,21.2R3-S9.20,MX960,DLLSTX97
AS3549,ES,PHX3-ES1,11.4R5.5,EX4500-40F,PHNBAZ27
AS3549,ES,PHX2-ES2,12.3R3.4,EX4550_Virtual,PHNHAZVA
AS3549,ES,SAT3-ES1,11.4R5.5,EX4500-40F,SNAPTXTO
AS3549,ES,PHX7-ES1,12.3R3.4,EX4550_Virtual,PHNXAZNO
AS3549,ES,SEA5-ES1,11.4R5.5,EX4500-40F,STTNWAHO
AS209,PRIV,CIN3-PRIV-20,16.0.R15,7750-SR-12,CNCOOHRG
AS209,EDGE,PHN4-EDGE-01,21.2R3-S3.5,MX960,PHNXAZNE
AS3549,ES,IND5-ES1,11.4R5.5,EX4500-40F,CRMLINAN
AS3549,ES,PHX2-ES1,11.4R5.5,EX4500-40F,PHNHAZVA
AS209,DSL-GW,SLCY-DSL-GW22.SLCY.QWEST.NET,21.2R3-S9.20,MX480,SLKDUTUY
AS3549,ES,DEN7-ES1,12.3R3.4,EX4550_Virtual,AURRCOAC
AS3356,EBR,EBR1.PHX1,22.4R3-S6.5,PTX10008,PHNDAZ91
AS3549,SCR,SCR1.BOI7,16.0.R20,7750-SR-12e,BOISIDMA
AS209,EDGE,TCS-EDGE-07,21.2R3-S3.5,MX960,TCSNAZ64
AS209,PCOR,SXF-PCOR-03,18.2R3-S8.5,MX960,SXFLSDNW
AS3549,ES,TPA4-ES1,12.3R3.4,EX4550_Virtual,TAMSFLDE
AS3549,ES,HNL2-ES1,11.4R5.5,EX4500-40F,HNLLHIEL
AS3549,ES,IND2-ES1,11.4R5.5,EX4500-40F,IPLXINIF
AS3549,ER,BHM1-ER1,15.1F5-S7.1,MX480,BRHMAL06
AS209,EDGE,ELP-EDGE-01,21.2R3-S3.5,MX960,ELPUTXFA
AS209,PRIV,ATX3-PRIV-20,16.0.R15,7750-SR-12,ATLNGAMQ
AS209,PRIV,ROC2-PRIV-21,16.0.R15,7750-SR-12,ROCHMNRO
AS3549,ES,SEA6-ES1,11.4R5.5,EX4500-40F,STTSWA58
AS209,DSL-GW,SPOK-DSL-GW09.SPOK.QWEST.NET,16.0.R15,7750-SR-12,SPKNWA01
AS209,DSL-GW,FTMY-DSL-GW03.FTMY.QWEST.NET,16.0.R15,7750-SR-12,FTMYFLXA
AS3549,ES,SJO49-ES2,12.3R12-S14,EX4550_Virtual,SNVACABB
AS3549,ES,ROC2-ES2,12.3R3.4,EX4550_Virtual,ROCHNYEH
AS209,PRIV,SVL-PRIV-23,16.0.R15,7750-SR-12,SNVACAHZ
AS209,SVCS,LSV2-SVCS-10,15.1F6-S6.4,MX480,LSVGNVXB
AS209,EDGE,DCA-EDGE-21,15.1R4-S7,M320,WASIDCRG
AS209,PRIV,ABQ-PRIV-21,16.0.R15,7750-SR-12,ALBQNMPC
AS3549,ES,JAX3-ES1,11.4R5.5,EX4500-40F,JCVNFLYZ
AS209,DSL-GW,STPL-DSL-GW17.STPL.QWEST.NET,16.0.R15,7750-SR-12,STPLMNMK
AS209,PRIV,FRP-PRIV-20,16.0.R15,7750-SR-12,FRPKGACX
AS209,DSL-GW,SLCY-DSL-GW18.SLCY.QWEST.NET,16.0.R15,7750-SR-12,SLKDUTUY
AS209,PRIV,ALB-PRIV-20,16.0.R15,7750-SR-12,ALBYNYPS
AS3549,ES,PHX4-ES1,11.4R5.5,EX4500-40F,PHNDAZ91
AS209,PRIV,CLE-PRIV-20,16.0.R15,7750-SR-12,CLEYOHDH
AS209,PRIV,SFD-PRIV-20,16.0.R15,7750-SR-12,SFLDMIBV
AS209,PRIV,PHN-PRIV-21,16.0.R15,7750-SR-12,PHNXAZUI
AS209,PRIV,DCA-PRIV-21,16.0.R15,7750-SR-12,WASIDCRG
AS209,PRIV,EUG2-PRIV-20,16.0.R15,7750-SR-12,EUGNOR53
AS209,EDGE,VAN-EDGE-01,21.2R3-S3.5,MX480,VANCBCHC
AS3549,ES,ORL4-ES1,11.4R5.5,EX4500-40F,ORLFFLEJ
AS209,PRIV,SLC2-PRIV-22,16.0.R15,7750-SR-12,SLKDUTUY
AS209,PRIV,TUK-PRIV-20,16.0.R15,7750-SR-12,TKWLWALL
AS209,PRIV,TUK-PRIV-21,16.0.R15,7750-SR-12,TKWLWALL
AS209,PRIV,CAL-PRIV-20,16.0.R15,7750-SR-7,CLGRABSM
AS3549,ES,ABY3-ES1,11.4R5.5,EX4500-40F,ALBYNYPS
AS209,EDGE,HLN2-EDGE-03,21.2R3-S3.5,MX480,HLNAMTMA
AS209,PRIV,DVR-PRIV-20,16.0.R15,7750-SR-12,DNVRCO26
AS209,PRIV,CLS2-PRIV-21,16.0.R15,7750-SR-12,CLSPCOMA
AS209,PRIV,SEA-PRIV-20,16.0.R15,7750-SR-12,STTLWAWB
AS209,PRIV,HLR-PRIV-23,16.0.R15,7750-SR-12,HLRNCOFP
AS209,PRIV,PHN4-PRIV-22,16.0.R15,7750-SR-12,PHNXAZNE
AS209,DSL-GW,STPL-DSL-GW16.STPL.QWEST.NET,16.0.R15,7750-SR-12,STPLMNMK
AS209,PRIV,CDR2-PRIV-20,16.0.R15,7750-SR-12,CDRRIADT
AS209,PRIV,POR-PRIV-21,16.0.R15,7750-SR-12,PTLDOR61
AS209,PRIV,SLC2-PRIV-21,16.0.R15,7750-SR-12,SLKDUTUY
AS3549,MAR,MAR1.SJO1,11.4R8.4,M120,SNVACAID
AS209,PRIV,FRP-PRIV-21,16.0.R15,7750-SR-12,FRPKGACX
AS209,PRIV,SVL-PRIV-22,16.0.R15,7750-SR-12,SNVACAHZ
AS209,PRIV,BST-PRIV-21,16.0.R15,7750-SR-12,BSTPMALL
AS3356,EBR,EBR5.DEN1,22.4R3-S6.5,PTX10008,DNVTCO56
AS209,PRIV,MIA-PRIV-20,16.0.R15,7750-SR-12,MIASFLTT
AS209,PRIV,ORL-PRIV-21,16.0.R15,7750-SR-12,ORLFFL43
AS209,DSL-GW,HLRN-DSL-GW11.HLRN.QWEST.NET,16.0.R15,7750-SR-12,HLRNCOFP
AS209,PRIV,DCA-PRIV-22,16.0.R15,7750-SR-12,WASIDCRG
AS209,PRIV,DVN-PRIV-21,16.0.R15,7750-SR-12,BTNDIAUT
