location_code,short_name,location_name,address,address_2,city,state,postal_code,country,timezone_name,timezone_offset,latitude,longitude,region
DWSYORAA,dws1,Drewsey1,HIGHWAY 20 & MP 174,,DREWSEY,OREGON,97904,US,MOUNTAIN TIME,-7,43.751934,-118.418823,
TBTSMO01,tbb1,Tebbetts1,4873 STATE ROAD AA,,TEBBETTS,MISSOURI,65080,US,CENTRAL TIME,-6,38.605698,-91.992813,
NRLNNC01,wse1,Wise1,1407 US HIGHWAY 1 N,,NORLINA,NORTH CAROLINA,27563,US,EASTERN TIME,-5,36.47094,-78.17308,
ELSGCABS,lax16,LosAngeles16,1920 E MAPLE AVE,,EL SEGUNDO,CALIFORNIA,90245,US,PACIFIC TIME,-8,33.926071,-118.394119,
MLUAHIAK,hon1,Honolulu1,550 PAIEA ST,,HONOLULU,HAWAII,96819,US,"HAWAII, TAHITI",-10,21.335417,-157.914886,
VANDWAJJ,por6,Portland6,5400 NE 15TH AVE,,VANCOUVER,WASHINGTON,98663,US,PACIFIC TIME,-8,45.656097,-122.656746,
ONTRCAOY,rsd2,Riverside2,5351 E AIRPORT DR,,ONTARIO,CALIFORNIA,91761,US,PACIFIC TIME,-8,34.062683,-117.533241,
MIVLMDBN,mvl1,Millersville1,I-97 & BRIGHTVIEW,,MILLERSVILLE,MARYLAND,21108,US,EASTERN TIME,-5,39.094681,-76.620117,
TUSTCACP,tus4,Tustin4,2792 WALNUT AVE,,TUSTIN,CALIFORNIA,92780,US,PACIFIC TIME,-8,33.714119,-117.80574,
OCSDCALO,ocs1,Oceanside1,1806 MISSION AVE,,OCEANSIDE,CALIFORNIA,92054,US,PACIFIC TIME,-8,33.203239,-117.366203,
SNDKCAYC,sdg5,SanDiego5,4787 MERCURY ST,,SAN DIEGO,CALIFORNIA,92111,US,PACIFIC TIME,-8,32.82885,-117.148392,
SNFDCAPR,sfo5,SanFrancisco5,665 3RD ST,,SAN FRANCISCO,CALIFORNIA,94107,US,PACIFIC TIME,-8,37.779305,-122.393089,
AZUSCA21,lax17,LosAngeles17,939 N VERNON AVE,,AZUSA,CALIFORNIA,91702,US,PACIFIC TIME,-8,34.138592,-117.916832,
LSANCAPB,lax18,LosAngeles18,2614 WHITTIER BLVD,,LOS ANGELES,CALIFORNIA,90023,US,PACIFIC TIME,-8,34.032661,-118.212685,
SHRNPACK,shn1,Sharon1,359 VINE AVE,,SHARON,PENNSYLVANIA,16146,US,EASTERN TIME,-5,41.237404,-80.507484,
LSAOCAGX,lax19,LosAngeles19,5549 WESTLAWN AVE,,LOS ANGELES,CALIFORNIA,90066,US,PACIFIC TIME,-8,33.979679,-118.41478,
HRNDVACH,wdc17,Washington17,460 SPRINGPARK PL,,HERNDON,VIRGINIA,20170,US,EASTERN TIME,-5,38.96162,-77.377563,
CLPPVAHP,clp1,Culpeper1,18151 TECHNOLOGY DR,,CULPEPER,VIRGINIA,22701,US,EASTERN TIME,-5,38.456753,-77.977829,
SNANCAPC,tus5,Tustin5,3011 W WARNER AVE,,SANTA ANA,CALIFORNIA,92704,US,PACIFIC TIME,-8,33.715214,-117.909462,
MIANFLHF,mia10,Miami10,15950 W DIXIE HWY,,NORTH MIAMI BEACH,FLORIDA,33162,US,EASTERN TIME,-5,25.92288,-80.156242,
LBTPOH04,clb5,Columbus5,306 GREIF PKWY,,DELAWARE,OHIO,43015,US,EASTERN TIME,-5,40.223228,-83.045219,
RONKTXFL,ftw5,FortWorth5,931 LITSEY RD,,ROANOKE,TEXAS,76262,US,CENTRAL TIME,-6,33.006699,-97.245544,
ENWDCOVF,enw3,Englewood3,12500 E ARAPAHOE RD,,ENGLEWOOD,COLORADO,80112,US,MOUNTAIN TIME,-7,39.59409,-104.843147,
DTITMI14,det8,Detroit8,1830 GRATIOT AVE,,DETROIT,MICHIGAN,48207,US,EASTERN TIME,-5,42.346355,-83.036469,
TOKYJPEZ,tok1,Tokyo1,3-8-21 HIGASHI SHINAGAWA,,SHINAGAWA-KU,TOKYO,104-0002,JP,"TOKYO, SEOUL",9,35.617504,139.748077,
CHWAHKAJ,hkg1,HongKong1,399 CHAI WAN RD,,CHAI WAN,,,HK,"PERTH, BEIJING, SINGAPORE",8,22.2661,114.246521,
SNGQSIOM,sng1,Singapore1,26A AYER RAJAH CRESCENT,,SINGAPORE,SOUTH WEST,139963,SG,"PERTH, BEIJING, SINGAPORE",8,1.29606,103.790497,
NYCMNY10,nyc15,NewYork15,1211 AVENUE OF THE AMERICAS,,NEW YORK,NEW YORK,10036,US,EASTERN TIME,-5,40.758469,-73.981964,
Z0011386,sha1,Shanghai1,4F BLDG 926 TONGPU RD,BLDG 926 TONGPU RD,ZHANJANG,SHANGHAI,ZHANJANG,CN,CCT,8,31.2244,121.475899,
ZHNJCIAB,zha1,Zhanjiang1,YINGBING RD,,ZHANJIANG,XINJIANG,524000,CN,CCT,8,21.197201,110.416702,
Z0011322,she1,ShenYang1,17/F HUAXIANG RD,,SHENYANG,SHANGHAI,110000,CN,CCT,8,41.805901,123.432098,
HMPSTXAT,hem1,Hempstead1,.5 MI E USHWY 290 & OLD HOWTH RD,,HEMPSTEAD,TEXAS,77445,US,CENTRAL TIME,-6,30.126053,-96.12394,
MDRDSPEO,mad2,Madrid2,CALLE VALGRANDE 6,,ALCOBENDAS,MADRID,28108,ES,CET  CENTRAL EUROPEAN,1,40.536793,-3.648559,
MDRDSPDB,mad3,Madrid3,CALLE MESENA 80,,MADRID,MADRID,28033,ES,CET  CENTRAL EUROPEAN,1,40.46619,-3.66026,
SOFABLAN,sof1,Sofia1,26A ANDREY SAHAROV,,SOFIA,SOFIA-GRAD,1784,BG,"ATHENS, BERIUT, CAIRO",2,42.65287,23.37327,
BCHRROAE,bch1,Bucharest1,8 MAT POMPEIU DIMITRIE,,BUCUREè?TI,BUCURESTI,20337,RO,"ATHENS, BERIUT, CAIRO",2,44.481686,26.120623,
TXRKTXXA,txr1,Texarkana1,500 OLIVE ST,,TEXARKANA,TEXAS,75501,US,CENTRAL TIME,-6,33.424759,-94.04351,
NDHMMAIO,bos5,Boston5,128 1ST AVE,,NEEDHAM,MASSACHUSETTS,2494,US,EASTERN TIME,-5,42.301281,-71.219582,
SOVLMAAB,bos6,Boston6,70 INNERBELT RD,,SOMERVILLE,MASSACHUSETTS,2143,US,EASTERN TIME,-5,42.376492,-71.079872,
NYCMNYAA,nyc16,NewYork16,32 AVENUE OF THE AMERICAS,,NEW YORK,NEW YORK,10013,US,EASTERN TIME,-5,40.720081,-74.00499,
SCCSNJCD,nwr7,Newark7,9 BROADCAST PLZ,,SECAUCUS,NEW JERSEY,7094,US,EASTERN TIME,-5,40.796101,-74.069283,
EGVGILBP,chi15,Chicago15,1905 LUNT AVE,,ELK GROVE VILLAGE,ILLINOIS,60007,US,CENTRAL TIME,-6,42.001099,-87.955193,
CHCGILWU,chi16,Chicago16,427 S LA SALLE ST,,CHICAGO,ILLINOIS,60605,US,CENTRAL TIME,-6,41.875889,-87.631454,
LSANCAVJ,lax20,LosAngeles20,900 N ALAMEDA ST,,LOS ANGELES,CALIFORNIA,90012,US,PACIFIC TIME,-8,34.058102,-118.23539,
STTOWAJM,sea10,Seattle10,140 4TH AVE N,FISHER PLAZA,SEATTLE,WASHINGTON,98109,US,PACIFIC TIME,-8,47.619411,-122.348068,
GDRQMIRM,grp2,GrandRapids2,718 IONIA AVE SW,,GRAND RAPIDS,MICHIGAN,49503,US,EASTERN TIME,-5,42.950169,-85.669098,
SNJSCAWE,sjo10,SanJose10,1735 LUNDY AVE,,SAN JOSE,CALIFORNIA,95131,US,PACIFIC TIME,-8,37.388271,-121.888428,
NWHLNCAE,ral5,Raleigh5,5300 SHEARON HARRIS RD,,NEW HILL,NORTH CAROLINA,27562,US,EASTERN TIME,-5,35.640373,-78.941757,
WRCSMANK,wrc1,Worcester1,474 MAIN ST,,WORCESTER,MASSACHUSETTS,1608,US,EASTERN TIME,-5,42.262413,-71.802673,
HSTNTX28,hou11,Houston11,20 E GREENWAY PLZ,,HOUSTON,TEXAS,77046,US,CENTRAL TIME,-6,29.73163,-95.436523,
HLBOOR13,por7,Portland7,19720 NW TANASBOURNE DR,WCI,HILLSBORO,OREGON,97124,US,PACIFIC TIME,-8,45.5438,-122.88031,
PNSCFLZQ,pca2,Pensacola2,221 N BAYLEN ST,,PENSACOLA,FLORIDA,32502,US,CENTRAL TIME,-6,30.415796,-87.217949,
DFSPFLAN,dfs1,DeFuniakSprings1,35 WELLS ST,,DEFUNIAK SPRINGS,FLORIDA,32435,US,CENTRAL TIME,-6,30.722538,-86.098038,
YGTWFLAF,ygt1,Youngstown1,12440 HIGHWAY 20,,YOUNGSTOWN,FLORIDA,32466,US,CENTRAL TIME,-6,30.43648,-85.499634,
FRPTPAAF,frp1,Freeport1,182 NORTHPOINTE BLVD,,FREEPORT,PENNSYLVANIA,16229,US,EASTERN TIME,-5,40.756599,-79.638283,
CHCGIL24,chi17,Chicago17,717 S WELLS ST,,CHICAGO,ILLINOIS,60607,US,CENTRAL TIME,-6,41.87291,-87.633263,
PERSCACC,rsd3,Riverside3,20021 SANTA ROSA MINE RD,,PERRIS,CALIFORNIA,92570,US,PACIFIC TIME,-8,33.758224,-117.315979,
LNNHMICA,lsg3,Lansing3,1206 MAY ST,,LANSING,MICHIGAN,48906,US,EASTERN TIME,-5,42.742008,-84.534416,
DRNDMIAD,fnt2,Flint2,302 ANN ARBOR ST,,DURAND,MICHIGAN,48429,US,EASTERN TIME,-5,42.909107,-83.980873,
FNTAKSAC,fta1,Fontana1,111.12 FT N/O AND 109.38 FT E/O N OSAGE ST & W DORMAN AVENUE,,FONTANA,KANSAS,66026,US,CENTRAL TIME,-6,38.400452,-94.874687,
TROYMIUO,det9,Detroit9,1950 CROOKS RD,,TROY,MICHIGAN,48084,US,EASTERN TIME,-5,42.55167,-83.16584,
TULSOKUW,tul3,Tulsa3,7140 S LEWIS AVE,,TULSA,OKLAHOMA,74136,US,CENTRAL TIME,-6,36.059643,-95.957878,
LSAQCATI,lax21,LosAngeles21,6801 HOLLYWOOD BLVD,,LOS ANGELES,CALIFORNIA,90028,US,PACIFIC TIME,-8,34.102619,-118.339508,
HLBOORHT,por8,Portland8,3935 NW ALOCLEK PL,BUILDING C,HILLSBORO,OREGON,97124,US,PACIFIC TIME,-8,45.549419,-122.891769,
CHPLFLAW,chp1,Chipley1,753 WEST BLVD,,CHIPLEY,FLORIDA,32428,US,EST,-5,30.774918,-85.5513,
CDPTPACJ,cou2,Coudersport2,65 DAMASCUS ST,,COUDERSPORT,PENNSYLVANIA,16915,US,CAT,-10,41.764751,-78.034698,
LNCSPAJW,lcp1,LancasterPA1,1720 HEMPSTEAD RD,,LANCASTER,PENNSYLVANIA,17601,US,EASTERN TIME,-5,40.04945,-76.251984,
SYRCNYCN,syr2,Syracuse2,2 S CLINTON SQ,THE ATRIUM BUILDING,SYRACUSE,NEW YORK,13202,US,EASTERN TIME,-5,43.050144,-76.152748,
MNCHCAAF,pta1,PointArena1,19700 S HIGHWAY 1,,MANCHESTER,CALIFORNIA,95459,US,PACIFIC TIME,-8,38.966431,-123.687531,
UKIHCAJC,uki1,Ukiah1,210 NORGARD LN,,UKIAH,CALIFORNIA,95482,US,PACIFIC TIME,-8,39.118252,-123.196175,
CLOKCAAK,clo1,ClearLakeOaks1,15709 E HIGHWAY 20,,CLEARLAKE OAKS,CALIFORNIA,95423,US,PACIFIC TIME,-8,39.008987,-122.61808,
ARBCCAAK,sac6,Sacramento6,6581 HAHN,,ARBUCKLE,CALIFORNIA,95912,US,PACIFIC TIME,-8,39.056782,-122.068871,
RBNSCAAD,sac7,Sacramento7,17305 STHWY 113,,ROBBINS,CALIFORNIA,95676,US,PACIFIC TIME,-8,38.870701,-121.704735,
KRWDNYBS,bgm1,Binghamton1,2297 US ROUTE 11,,KIRKWOOD,NEW YORK,13795,US,EASTERN TIME,-5,42.008621,-75.765648,
DRYDNYTY,ith1,Ithaca1,47 PINCKNEY RD,,ITHACA,NEW YORK,14850,US,EASTERN TIME,-5,42.47361,-76.40448,
AUBNNYBE,syr4,Syracuse4,32 OWASCO ST,,AUBURN,NEW YORK,13021,US,EASTERN TIME,-5,42.931492,-76.55928,
BRBOVTDH,brb1,Brattleboro1,28 VERNON ST,,BRATTLEBORO,VERMONT,5301,US,EASTERN TIME,-5,42.850288,-72.55616,
BGTNVTAH,bgt1,Bennington1,107 MCKINLEY ST,,BENNINGTON,VERMONT,5201,US,EASTERN TIME,-5,42.882099,-73.204399,
CLSPCO11,csp2,ColoradoSprings2,102 S TEJON ST,,COLORADO SPRINGS,COLORADO,80903,US,MOUNTAIN TIME,-7,38.831841,-104.824112,
HNVLMOAG,kac6,KansasCity6,502 PLAZA DR,,HARRISONVILLE,MISSOURI,64701,US,CENTRAL TIME,-6,38.65678,-94.36525,
BTLRMOAG,bmo1,Butler1,1106 W FORT SCOTT ST,,BUTLER,MISSOURI,64730,US,CENTRAL TIME,-6,38.257122,-94.354622,
LAMRMOBW,lmr1,Lamar1,22 N HIGHWAY HH,,LAMAR,MISSOURI,64759,US,CENTRAL TIME,-6,37.512936,-94.150558,
ARSNMOAD,amo1,AndersonMO1,RURAL ROUTE 2 BOX 2181 D,BOX 2181D,ANDERSON,MISSOURI,64831,US,CENTRAL TIME,-6,36.637699,-94.487099,
MNTTMOBL,mtt1,Monett1,335 FARM ROAD 1090,,MONETT,MISSOURI,65708,US,CENTRAL TIME,-6,36.919373,-93.900574,
SPFDMOZG,spf1,SpringfieldMO1,310 S FARM ROAD 205,,SPRINGFIELD,MISSOURI,65802,US,CENTRAL TIME,-6,37.20348,-93.169464,
GVSPMOAC,gvs1,Grovespring1,10731 HIGHWAY 5,,GROVESPRING,MISSOURI,65662,US,CENTRAL TIME,-6,37.448082,-92.596008,
NWBGMOAB,rla1,Rolla1,16402 COUNTY ROAD 6120,,NEWBURG,MISSOURI,65550,US,CENTRAL TIME,-6,37.723373,-91.875618,
SEVLMOAA,rla2,Rolla2,909 E HIGHWAY 8,,STEELVILLE,MISSOURI,65565,US,CENTRAL TIME,-6,37.976105,-91.209969,
PVLYMOAM,stl6,StLouis6,1779 HERKY HORINE RD,,PEVELY,MISSOURI,63070,US,CENTRAL TIME,-6,38.264969,-90.41275,
QUPWOKAL,jln2,Joplin2,6490 S 630 RD,,QUAPAW,OKLAHOMA,74363,US,CENTRAL TIME,-6,36.944408,-94.740379,
BGCBOKAD,bgc1,BigCabin1,MM279 E I-44 @ OTA ROW,,BIG CABIN,OKLAHOMA,74332,US,CENTRAL TIME,-6,36.5238,-95.2537,
ABNRDKAA,abm1,Aabenraa1,10 EGEVEJ,,AABENRAA,,6200,DK,CET  CENTRAL EUROPEAN,1,55.064522,9.36706,
ADNCFRAB,adn1,Andancette1,ROUTE DEPARTEMENTALE 1 257,,ANDANCETTE,ALVERNIA-RODANO-ALPI,26140,FR,CET  CENTRAL EUROPEAN,1,45.245083,4.805111,
AHASGEAA,aha1,Ahaus1,SCHUMACHERRING / BOSCHSTR,ILA AHAUS,AHAUS,NORTH RHINE-WESTPHALIA,48683,DE,CET  CENTRAL EUROPEAN,1,52.080769,7.039667,
LSBNPOAT,lis1,Lisbon1,14 AVENIDA SEVERIANO FALC?üO,,LOURES,LISBOA,2685,PT,"DUBLIN,EDINBURGH,LONDON,LISBON",0,38.787918,-9.123356,
OKRGORAG,okr1,Oakridge1,76228 FISH HATCHERY RD,,OAKRIDGE,OREGON,97463,US,PACIFIC TIME,-8,43.741524,-122.44294,
ALBRFRAA,abf1,Albert1,PARC DACTIVITES HENRY POTEZ,ILA,ALBERT,PICARDIE,80300,FR,CET  CENTRAL EUROPEAN,1,50.011013,2.669888,
ALTNGE01,acn1,Altencreussen1,8016 FUNKENDORF,,PREBITZ,BAVARIA,95473,DE,CET  CENTRAL EUROPEAN,1,49.809021,11.69052,
ALVSSWAA,alv1,Alvesta1,HIGHWAY 27,ILA HJORTSBERGA,SJOATORP,VASTRA GOTALAND COUNTY,342 93,SE,CET  CENTRAL EUROPEAN,1,56.916546,14.420124,
ANGLSWAA,ang1,Angelholm1,MAESTAREGATAN,ILA MUNKA-LJUNGBY,ANGELHOLM,SKANE COUNTY,266 32,SE,CET  CENTRAL EUROPEAN,1,56.253429,12.961409,
ARJNSWAA,arj1,Arljang1,HIGHWAY E18,ILA ARLJANG,ARJANG,VARMLAND COUNTY,672 91,SE,CET  CENTRAL EUROPEAN,1,59.406231,12.126038,
ARRSFRAA,arr1,Arras1,ZAC ARTOIPOLE,,ARRAS,NORD-PAS-DE-CALAIS,62000,FR,CET  CENTRAL EUROPEAN,1,50.272923,2.851049,
ARTHFRAA,art1,Artenay1,LIEU DIT LE MOULIN DAUVILLIERS,,ARTENAY,CENTRE-LOIRE VALLEY,45410,FR,CET  CENTRAL EUROPEAN,1,48.063259,1.86993,
AVECFRAA,ave1,Chatellerault1,1 RUE VARENNES,,AVAILLES EN CHATELLERAULT,NEW AQUITAINE,86530,FR,CET  CENTRAL EUROPEAN,1,46.76046,0.55496,
AVNCSZAA,avn1,Avenches1,INDUSTRIEZONE NEXT TO HIGHWAY,,AVENCHES,VAUD ,1580,CH,CET  CENTRAL EUROPEAN,1,46.879574,7.040941,
SBNDINSD,sbd1,SouthBend1,1140 FRANKLIN ST,,SOUTH BEND,INDIANA,46601,US,EASTERN TIME,-5,41.662239,-86.254395,
GUFDPA01,chb1,Chambersburg1,S 3RD ST & ALLEMAN RD,,CHAMBERSBURG,PENNSYLVANIA,17201,US,EASTERN TIME,-5,39.933292,-77.657928,
SHPSINAJ,shp1,Shipshewana1,8210 USHWY 20,,SHIPSHEWANA,INDIANA,46565,US,EASTERN TIME,-5,41.653702,-85.584785,
ANGLINJD,ago1,Angola1,832 E US HIGHWAY 20,,ANGOLA,INDIANA,46703,US,EASTERN TIME,-5,41.634472,-84.969765,
FYTTOHAG,fyt1,Fayette1,14975 COUNTY ROAD 19,,FAYETTE,OHIO,43521,US,EASTERN TIME,-5,41.6819,-84.230553,
TOLEOHBR,tol3,Toledo3,639 OLIVER ST,,TOLEDO,OHIO,43609,US,EASTERN TIME,-5,41.63866,-83.547241,
VCKROHAB,vck1,Vickery1,4577 STATE ROUTE 412,,VICKERY,OHIO,43464,US,EASTERN TIME,-5,41.370529,-82.955139,
AMHROHAN,cle10,Cleveland10,8039 PYLE RD,,AMHERST,OHIO,44001,US,EASTERN TIME,-5,41.337181,-82.241699,
BLTOMDRS,bal5,Baltimore5,601 E PRATT ST,,BALTIMORE,MARYLAND,21202,US,EASTERN TIME,-5,39.286129,-76.607208,
CHTNINEU,gry2,Gary2,1170 N 400 E,,CHESTERTON,INDIANA,46304,US,CENTRAL TIME,-6,41.60273,-86.995033,
SNLOCAAE,sbp2,SanLuisObispo2,9401 LOS OSOS VALLEY RD,,SAN LUIS OBISPO,CALIFORNIA,93405,US,PACIFIC TIME,-8,35.27742,-120.718918,
LSOSCAAI,oso1,LosOsos1,1101 LOS OLIVOS AVE,,LOS OSOS,CALIFORNIA,93402,US,PACIFIC TIME,-8,35.31263,-120.831429,
PVLYMOAJ,stl7,StLouis7,1803 HERKY HORINE RD,,PEVELY,MISSOURI,63070,US,CENTRAL TIME,-6,38.265808,-90.411598,
RVDLILBC,chi18,Chicago18,62 E 137TH ST,,RIVERDALE,ILLINOIS,60827,US,CENTRAL TIME,-6,41.646744,-87.618835,
VLPRINFD,gry3,Gary3,633 POPLAR ST,,VALPARAISO,INDIANA,46383,US,CENTRAL TIME,-6,41.475193,-87.053398,
SBNDIN11,sbd2,SouthBend2,506 W SOUTH ST,,SOUTH BEND,INDIANA,46601,US,EASTERN TIME,-5,41.669342,-86.255928,
SCHLMIBC,scl2,Schoolcraft2,6990 W XY AVE,,SCHOOLCRAFT,MICHIGAN,49087,US,EASTERN TIME,-5,42.092781,-85.684601,
CHCGILAE,chi19,Chicago19,601 W POLK ST,,CHICAGO,ILLINOIS,60607,US,CENTRAL TIME,-6,41.871578,-87.643051,
RCMDVA94,rch3,Richmond3,3600 W BROAD ST,,RICHMOND,VIRGINIA,23230,US,EASTERN TIME,-5,37.569069,-77.477081,
RSTNVA14,wdc18,Washington18,12100 SUNRISE VALLEY DR,,RESTON,VIRGINIA,20191,US,EASTERN TIME,-5,38.950661,-77.364517,
RYNLGAMG,ryn1,Reynolds1,1067 TOMMY PURVIS RD,,REYNOLDS,GEORGIA,31076,US,EASTERN TIME,-5,32.512112,-84.126663,
CMLLGAAU,aby2,AlbanyGA2,4110 MOUNT ZION RD,,CAMILLA,GEORGIA,31730,US,EASTERN TIME,-5,31.219982,-84.169655,
TLHTFLRV,tal3,Tallahassee3,4930 GUM RD,,TALLAHASSEE,FLORIDA,32304,US,EASTERN TIME,-5,30.448071,-84.359955,
RCMFVAIA,rch4,Richmond4,4233 CAROLINA AVE,,RICHMOND,VIRGINIA,23222,US,EASTERN TIME,-5,37.591709,-77.410805,
Z0010654,hou12,Houston12,4261 SOUTHWEST FWY**USE HSTPTXNI**,,HOUSTON,TEXAS,77027,US,CAT,-10,29.729261,-95.447144,
CHCGILBL,chi20,Chicago20,205 N MICHIGAN AVE,,CHICAGO,ILLINOIS,60601,US,CENTRAL TIME,-6,41.886028,-87.624123,
LKMRFLAJ,orl7,Orlando7,35 SKYLINE DR,WOFL,LAKE MARY,FLORIDA,32746,US,EASTERN TIME,-5,28.737432,-81.369019,
NYCNNYDF,nyc17,NewYork17,205 E 67TH ST,,NEW YORK,NEW YORK,10065,US,EASTERN TIME,-5,40.76635,-73.962181,
PHNYAZAT,phx10,Phoenix10,511 W ADAMS ST,,PHOENIX,ARIZONA,85003,US,MOUNTAIN TIME,-7,33.448761,-112.080811,
LSANCANL,lax22,LosAngeles22,1999 S BUNDY DR,,LOS ANGELES,CALIFORNIA,90025,US,PACIFIC TIME,-8,34.034,-118.455635,
WASHDCJZ,wdc19,Washington19,5151 WISCONSIN AVE NW,,WASHINGTON,DISTRICT OF COLUMBIA,20016,US,EASTERN TIME,-5,38.956661,-77.083054,
PHLAPAZX,phi9,Philadelphia9,330 MARKET ST,,PHILADELPHIA,PENNSYLVANIA,19106,US,EASTERN TIME,-5,39.949951,-75.14698,
AUSVTXAI,aus8,Austin8,119 E 10TH ST,,AUSTIN,TEXAS,78701,US,CENTRAL TIME,-6,30.271496,-97.740692,
ATLDGAFO,atl11,Atlanta11,1551 BRIARCLIFF RD NE,,ATLANTA,GEORGIA,30306,US,EASTERN TIME,-5,33.796589,-84.335449,
EDPRMNCB,min6,Minneapolis6,11358 VIKING DR,,EDEN PRAIRIE,MINNESOTA,55344,US,CENTRAL TIME,-6,44.8638,-93.420212,
DLLATXNO,dal13,Dallas13,400 N GRIFFIN ST,,DALLAS,TEXAS,75202,US,CENTRAL TIME,-6,32.781826,-96.803307,
SFLDMIMC,det10,Detroit10,16550 W 9 MILE RD,,SOUTHFIELD,MICHIGAN,48075,US,EASTERN TIME,-5,42.460606,-83.213448,
HYPKFLAC,tmp9,Tampa9,3213 W KENNEDY BLVD,,TAMPA,FLORIDA,33609,US,EASTERN TIME,-5,27.945339,-82.496384,
MMPHTNTB,mem2,Memphis2,485 S HIGHLAND ST,FOX 13 - WHBQ-TV,MEMPHIS,TENNESSEE,38111,US,CENTRAL TIME,-6,35.118206,-89.945663,
DDHMMAAH,bos7,Boston7,25 FOX DR,,DEDHAM,MASSACHUSETTS,2026,US,EASTERN TIME,-5,42.230419,-71.179962,
STTLWAHJ,sea11,Seattle11,2200 6TH AVE,,SEATTLE,WASHINGTON,98121,US,PACIFIC TIME,-8,47.616409,-122.341118,
CLEVOHEE,cle11,Cleveland11,5800 S MARGINAL RD,,CLEVELAND,OHIO,44103,US,CAT,-10,41.532536,-81.647064,
DNVUCOHU,den8,Denver8,501 WAZEE ST,,DENVER,COLORADO,80204,US,MOUNTAIN TIME,-7,39.745029,-105.012009,
STLSMOJN,stl8,StLouis8,5915 BERTHOLD AVE,,ST LOUIS,MISSOURI,63110,US,CAT,-10,38.629314,-90.285522,
KSCYMOTF,kac7,KansasCity7,3030 SUMMIT ST,,KANSAS CITY,MISSOURI,64108,US,CENTRAL TIME,-6,39.07262,-94.594475,
BRDRWIBH,mlw3,Milwaukee3,9001 N GREEN BAY RD,WITI TV6,BROWN DEER,WISCONSIN,53209,US,CENTRAL TIME,-6,43.181969,-87.963783,
SLKCUTTL,slc5,SaltLakeCity5,5020 W AMELIA EARHART DR,,SALT LAKE CITY,UTAH,84116,US,MOUNTAIN TIME,-7,40.776932,-112.011063,
BRHOALEM,bir3,Birmingham3,1720 VALLEY VIEW DR,,BIRMINGHAM,ALABAMA,35209,US,CENTRAL TIME,-6,33.489891,-86.798859,
HGPNNCEY,gbo2,Greensboro2,2005 FRANCIS ST,WGHP,HIGH POINT,NORTH CAROLINA,27263,US,EASTERN TIME,-5,35.937981,-79.979309,
WLANCAAX,lax23,LosAngeles23,2044 ARMACOST AVE,,LOS ANGELES,CALIFORNIA,90025,US,PACIFIC TIME,-8,34.033916,-118.453323,
CHCGILHZ,chi21,Chicago21,55 W WACKER DR,,CHICAGO,ILLINOIS,60601,US,CENTRAL TIME,-6,41.886681,-87.630043,
SNFDCADI,sfo6,SanFrancisco6,901 BATTERY ST,,SAN FRANCISCO,CALIFORNIA,94111,US,PACIFIC TIME,-8,37.799759,-122.401649,
NBVGFLAI,mia11,Miami11,1440 79TH ST CSWY,,NORTH BAY VILLAGE,FLORIDA,33141,US,CAT,-10,25.848553,-80.154594,
NWTNMADW,bos8,Boston8,1230 WASHINGTON ST,,NEWTON,MASSACHUSETTS,2465,US,EASTERN TIME,-5,42.348789,-71.223999,
ATLBGABB,atl12,Atlanta12,260 14TH ST NW,,ATLANTA,GEORGIA,30318,US,EASTERN TIME,-5,33.785641,-84.395554,
DNVRCOEI,den9,Denver9,100 E SPEER BLVD,KDVR FOX 31,DENVER,COLORADO,80203,US,MOUNTAIN TIME,-7,39.724571,-104.985718,
HFMNTXAK,hou13,Houston13,33902 HUFFMAN-CLEVELAND RD,,HUFFMAN,TEXAS,77336,US,CENTRAL TIME,-6,30.105864,-95.110527,
BNNGCABY,sbo2,SanBernadino2,2010 E WESTWARD AVE,,BANNING,CALIFORNIA,92220,US,PACIFIC TIME,-8,33.917912,-116.853203,
INDICAKI,ino1,Indio1,23501 WHEEL RD,,INDIO,CALIFORNIA,92201,US,PACIFIC TIME,-8,33.733685,-116.239296,
SNTCCAIE,sjo11,SanJose11,1350 DUANE AVE,,SANTA CLARA,CALIFORNIA,95054,US,PACIFIC TIME,-8,37.379021,-121.95504,
ELSGCAAT,els1,ElSegundo1,2260 E EL SEGUNDO BLVD,,EL SEGUNDO,CALIFORNIA,90245,US,PACIFIC TIME,-8,33.915619,-118.38456,
SNFGCADV,sfo7,SanFrancisco7,365 MAIN ST,,SAN FRANCISCO,CALIFORNIA,94105,US,PACIFIC TIME,-8,37.788719,-122.39045,
DLLUTXJR,dal14,Dallas14,3000 IRVING BLVD,,DALLAS,TEXAS,75247,US,CENTRAL TIME,-6,32.808517,-96.857315,
DNVUCOTF,den10,Denver10,4300 BRIGHTON BLVD,FORTRUST,DENVER,COLORADO,80216,US,MOUNTAIN TIME,-7,39.77742,-104.968338,
MCAMTXKN,mca1,McAllen1,906 BEECH AVE,,MCALLEN,TEXAS,78501,US,CENTRAL TIME,-6,26.204817,-98.229195,
CHHGILFE,chi22,Chicago22,19875 BLACKSTONE AVE,,CHICAGO HEIGHTS,ILLINOIS,60411,US,CENTRAL TIME,-6,41.530415,-87.581108,
LATTSCAK,fsc1,FlorenceSC1,114 W LEITNER ST,,LATTA,SOUTH CAROLINA,29565,US,EASTERN TIME,-5,34.337135,-79.433556,
